subject,grade,topic,question,correct_answer,choice_a,choice_b,choice_c,choice_d,choice_e
"Math","9","Cebir","3x + 5 = 20 denklemini sağlayan x değeri kaçtır?","a","5","6","7","8","10"
"Math","9","Geometri","Bir dik üçgenin dik kenarları 6 cm ve 8 cm ise hipotenüsü kaç cm'dir?","c","12","14","10","9","15"
"Math","9","Cebir","2(a + 3) - 4a ifadesinin sadeleştirilmiş hâli nedir?","d","2a + 6","6a - 2","-6a + 2","-2a + 6","-2a - 6"
"Math","9","Geometri","Yarıçapı 5 cm olan bir dairenin alanı kaç π cm²'dir?","a","25","10","15","20","50"
"Math","9","Cebir","|x - 3| = 5 denkleminin çözüm kümesi nedir?","e","{3, 5}","{2, 8}","{5, -5}","{3, -3}","{8, -2}"
"Math","9","Geometri","Çevresi 24 cm olan bir üçgenin iki kenarı 8 cm ve 10 cm ise üçüncü kenarı kaç cm'dir?","b","5","6","7","4","8"
"Math","9","Trigonometri","75° lik bir açının bütünler açısı kaç derecedir?","c","95°","15°","105°","25°","115°"
"Math","9","Cebir","x² - 5x + 6 ifadesinin çarpanlarına ayrılmış hâli nedir?","d","(x+2)(x+3)","(x-1)(x-6)","(x+1)(x-6)","(x-2)(x-3)","(x-5)(x+1)"
"Math","9","Olasılık","Bir zar atıldığında üst yüze çift sayı gelme olasılığı nedir?","b","1/3","1/2","1/6","2/3","3/4"
"Math","9","Cebir","2y + 8 = 4y - 6 denkleminin çözümü nedir?","e","5","-7","3","-5","7"
"Math","9","İstatistik","5, 7, 9, 11 sayılarının aritmetik ortalaması kaçtır?","c","7","9","8","10","6"
"Math","9","Geometri","Bir kenarı 3 cm olan küpün hacmi kaç cm³'tür?","a","27","9","18","81","6"
"Math","9","Cebir","10 ile 20 arasındaki asal sayıların adedi kaçtır?","d","3","5","6","4","2"
"Math","9","Koordinat Geometrisi","(2, 3) ve (4, 7) noktalarından geçen doğrunun eğimi kaçtır?","b","1","2","3","4","-2"
"Math","9","Cebir","3/5 = x/20 orantısında x kaçtır?","c","15","10","12","18","20"
"Math","9","Fonksiyonlar","f(x) = 2x + 3 fonksiyonu için f(4) değeri kaçtır?","d","10","12","5","11","15"
"Math","9","Cebir","2x - 4 > 10 eşitsizliğinin çözüm kümesi nedir?","e","x < 7","x > 3","x < 3","x > 14","x > 7"
"Math","9","Kümeler","A = {1, 3, 5} ve B = {2, 4, 6} kümeleri için A ∪ B kümesi nedir?","b","{1,3,5}","{1,2,3,4,5,6}","{2,4,6}","{1,2,3}","{5,6}"
"Math","9","Koordinat Geometrisi","Eğimi -2 olan ve (1,5) noktasından geçen doğrunun denklemi nedir?","a","y = -2x + 7","y = 2x + 3","y = -2x - 7","y = 2x - 5","y = -2x + 5"
"Math","9","Sayı Teorisi","√50 aşağıdakilerden hangisine eşittir?","c","2√5","10√2","5√2","5√5","2√10"
"Math","9","Oran-Orantı","15 işçi bir işi 20 günde bitiriyor. Aynı işi 30 işçi kaç günde bitirir?","c","5","8","10","12","15"
"Math","9","Denklemler","x + 2/3 = 5 ise x kaçtır?","b","4","13/3","5","14/3","4.5"
"Math","9","Geometri","Bir karenin alanı 64 cm² ise çevresi kaç cm'dir?","c","24","28","32","36","40"
"Math","9","Olasılık","Bir torbada 3 siyah, 2 beyaz top vardır. Rastgele çekilen bir topun beyaz olma olasılığı nedir?","d","1/5","2/5","1/2","2/5","3/5"
"Math","9","Trigonometri","cos60° + tan45° toplamı kaçtır?","b","1","1.5","2","0.5","2.5"
"Math","9","İstatistik","Bir veri seti: 3, 5, 7, 7, 9. Modu kaçtır?","c","3","5","7","9","Yok"
"Math","9","Kümeler","A = {a, b, c} kümesinin alt küme sayısı kaçtır?","c","4","6","8","10","12"
"Math","9","Sayı Teorisi","120 sayısının asal çarpanlarına ayrılmış hâli nedir?","c","2²35","23²5","2³35","235²","2⁴35"
"Math","9","Koordinat Geometrisi","y = -x + 4 doğrusunun eğimi nedir?","b","-4","-1","0","1","4"
"Fizik","9","Hareket","Düzgün doğrusal hareket yapan bir cismin hız-zaman grafiği nasıldır?","b","Eğri bir çizgi","Yatay bir çizgi","Dikey bir çizgi","Dalgalı bir çizgi","Parabol"
"Fizik","9","Kuvvet ve Hareket","Newton’un ikinci hareket yasasına göre, net kuvvetin büyüklüğü nasıl hesaplanır?","d","F = m/v","F = v/m","F = a/m","F = m*a","F = m/g"
"Fizik","9","İş ve Enerji","Kinetik enerji hangi faktörlere bağlıdır?","c","Sadece kütleye","Sadece hıza","Kütle ve hızın karesine","Kütle ve yerçekimine","Sadece yüksekliğe"
"Fizik","9","Basınç","Katıların basıncı hangi büyüklüklere bağlıdır?","b","Hacim ve yoğunluk","Kuvvet ve yüzey alanı","Sıcaklık ve basınç","Hız ve yoğunluk","Kütle ve hacim"
"Fizik","9","Elektrik","Direnci 4Ω olan bir devreden 3A akım geçiyorsa, devrenin gerilimi kaç volttur?","a","12V","8V","15V","10V","6V"
"Fizik","9","Dalgalar","Ses dalgaları hangi tür dalgalardır?","e","Elektromanyetik","Enine","Mekanik","Titreşim","Boyuna"
"Fizik","9","Optik","Işığın kırılma olayı hangi ortamlar arasında geçişte gözlenir?","b","Aynı ortamda","Farklı yoğunluktaki ortamlar arasında","Boşlukta","Metal yüzeylerde","Karanlıkta"
"Fizik","9","Isı ve Sıcaklık","Hangisi ısı birimi değildir?","c","Joule","Kalori","Newton","Kilojoule","Erg"
"Fizik","9","Manyetizma","Hangisi mıknatısın temel özelliklerinden biri değildir?","d","Kendi manyetik alanını oluşturur","Çekim kuvveti uygular","Kutupları ters çevrilebilir","Sadece demiri çeker","Kendi kutupları vardır"
"Fizik","9","Mekanik","Basit makineler ile ilgili aşağıdaki ifadelerden hangisi doğrudur?","e","Kuvvet her zaman korunur","İş miktarı artar","Enerji tasarrufu sağlar","Hareketi zorlaştırır","Kuvvetten kazanç sağlar"
"Kimya","9","Atom ve Periyodik Sistem","Bir elementin atom numarası neyi ifade eder?","c","Nötron sayısını","Kütle numarasını","Proton sayısını","Elektron sayısını","İzotop sayısını"
"Kimya","9","Kimyasal Bağlar","İyonik bağ nasıl oluşur?","b","İki ametal arasında","Bir metal ve bir ametal arasında","İki metal arasında","Aynı element atomları arasında","Zayıf etkileşimle"
"Kimya","9","Moleküller","Su molekülü (H₂O) hangi bağ türünü içerir?","a","Kovalent bağ","İyonik bağ","Metalik bağ","Van der Waals bağı","Hidrojen bağı"
"Kimya","9","Asit ve Bazlar","pH değeri 2 olan bir çözelti nasıl bir özellik gösterir?","d","Nötr","Zayıf baz","Güçlü baz","Güçlü asit","Zayıf asit"
"Kimya","9","Karışımlar","Homojen karışımlara hangi örnek verilebilir?","e","Kum-su","Talaş-demir","Yağ-su","Salata","Şekerli su"
"Kimya","9","Kimyasal Tepkimeler","Hangisi kimyasal değişime örnektir?","c","Buzun erimesi","Kağıdın yırtılması","Demirin paslanması","Camın kırılması","Şekerin suda çözünmesi"
"Kimya","9","Maddenin Halleri","Gaz halindeki moleküllerin hareketi nasıl açıklanır?","a","Düzensiz ve hızlı hareket ederler","Düzenli ve sabit hareket ederler","Sadece titreşim yaparlar","Katılara benzer şekilde sıkışık dururlar","Hareketsizdirler"
"Kimya","9","Çözeltiler","Çözeltiyi oluşturan çözücü nedir?","d","Katı madde","Çözünen madde","Tuz","Çözücü sıvı","Gaz"
"Kimya","9","Kimyasal Reaksiyonlar","Yanma tepkimesinin temel özelliği nedir?","e","Işık yayması","Isı yayması","Karbon üretmesi","Gaz çıkışı","Oksijen ile gerçekleşmesi"
"Biyoloji","9","Hücre","Hücrenin temel yapı taşları nelerdir?","c","Proteinler","DNA ve RNA","Hücre zarı, sitoplazma, çekirdek","Mitokondri ve ribozom","Endoplazmik retikulum"
"Biyoloji","9","Canlıların Sınıflandırılması","Hangisi ökaryot hücreye örnek olarak verilebilir?","d","Bakteri","Arke","Virüs","Bitki hücresi","Mantar hücresi"
"Biyoloji","9","Solunum Sistemi","Akciğerlerin temel görevi nedir?","e","Kanı temizlemek","Sindirim yapmak","Hormon üretmek","Besinleri taşımak","Oksijen alışverişini sağlamak"
"Biyoloji","9","Fotosentez","Fotosentez sırasında hangi gaz açığa çıkar?","a","Oksijen","Karbondioksit","Azot","Metan","Hidrojen"
"Biyoloji","9","Sindirim Sistemi","Sindirim sisteminde besinlerin kimyasal sindirimi nerede başlar?","c","Yemek borusu","Mide","Ağız","İnce bağırsak","Kalın bağırsak"
"Biyoloji","9","Genetik","Genetik bilgiyi taşıyan molekül hangisidir?","a","DNA","Protein","Lipit","Karbonhidrat","ATP"
"Biyoloji","9","Hücre Bölünmesi","Mitoz bölünme hangi tür hücrelerde gerçekleşir?","c","Sperm hücreleri","Yumurta hücreleri","Vücut hücreleri","Sinir hücreleri","Kas hücreleri"
"Fizik","9","İş ve Enerji","Bir cisim 50 Newton'luk kuvvetle 10 metre itiliyor. Yapılan iş kaç Joule'dür?","c","50","100","500","250","1000"
"Fizik","9","Kinetik Enerji","Hareket halindeki bir cismin kütlesi iki katına çıkarılırsa kinetik enerjisi nasıl değişir?","b","Yarıya iner","İki katına çıkar","Dört katına çıkar","Değişmez","Üç katına çıkar"
"Fizik","9","Ses Dalgaları","Sesin yayılma hızı en yüksek hangi ortamda gerçekleşir?","a","Katı","Sıvı","Gaz","Plazma","Vakum"
"Fizik","9","Hal Değişimi","0°C'deki buzun erimesi sırasında sıcaklık neden değişmez?","d","Isı kaybı olmadığı için","Kinetik enerji arttığı için","Basınç değiştiği için","Latent ısı kullanıldığı için","Hacim artışı olduğu için"
"Fizik","9","Elektrik Devreleri","Bir elektrik devresinde direnç iki katına çıkarsa akım nasıl değişir?","e","İki katına çıkar","Dört katına çıkar","Değişmez","Yarıya iner","Yarıya iner"
"Fizik","9","Hareket Yasaları","Newton'un 3. hareket yasası hangisidir?","c","Eylemsizlik","F=ma","Etki-Tepki","Yerçekimi","Enerjinin korunumu"
"Fizik","9","Serbest Düşme","Hava direnci olmayan ortamda serbest düşen cisim için hangisi doğrudur?","a","İvmesi sabittir","Hızı sabittir","Kütlesi artar","Enerjisi azalır","Yörüngesi değişir"
"Fizik","9","Enerji Hesaplama","1000 Watt'lık cihaz 2 saat çalışırsa kaç kWh enerji tüketir?","d","0.5","1","1.5","2","2.5"
"Fizik","9","Optik","Bir aynada görüntü boyu cismin boyuna eşitse ayna türü nedir?","b","Çukur","Düz","Tümsek","Silindirik","Küresel"
"Fizik","9","Basit Makineler","Basit makine kullanmanın temel amacı nedir?","c","İşi azaltmak","Enerjiyi artırmak","Kuvvetten kazanç","Zaman kazanmak","Yol kazancı"
"Kimya","9","Periyodik Tablo","Periyodik tabloda aynı periyotta olan elementler için hangisi doğrudur?","d","Aynı grup","Benzer kimyasal özellik","Aynı elektron sayısı","Aynı enerji seviyesi","Aynı atom yarıçapı"
"Kimya","9","Asit-Baz","Asit çözeltilerinin pH değeri aralığı nedir?","a","0-7","7-14","Tam 7","10-14","-1-1"
"Kimya","9","Kimyasal Tepkimeler","Hangisi kimyasal değişime örnektir?","c","Buzun erimesi","Su buharlaşması","Demirin paslanması","Camın kırılması","Tuzun çözünmesi"
"Kimya","9","Element Sembolleri","Hangi element sembolü yanlış verilmiştir?","e","Altın-Au","Gümüş-Ag","Cıva-Hg","Kurşun-Pb","Sodyum-So"
"Kimya","9","Bileşikler","Hangisi bileşik değildir?","b","H₂O","O₃","CO₂","NaCl","CH₄"
"Kimya","9","Atom Yapısı","Nötr bir atomda proton sayısı 17 ise elektron sayısı kaçtır?","c","16","17","18","15","19"
"Kimya","9","Gazlar","Hangi gaz yanıcı özellik gösterir?","d","Oksijen","Azot","Karbondioksit","Hidrojen","Helyum"
"Kimya","9","Ayırma Teknikleri","Hangisi fiziksel ayırma yöntemidir?","a","Damıtma","Elektroliz","Yanma","Nötralizasyon","Sentez"
"Kimya","9","Elektroliz","Suyun elektrolizi sonucu açığa çıkan gazlar hangileridir?","b","CO₂ ve O₂","H₂ ve O₂","H₂ ve CO₂","N₂ ve O₂","Cl₂ ve H₂"
"Kimya","9","İndikatörler","Hangi madde asit-baz indikatörüdür?","e","Su","Tuz","Şeker","Alkol","Turnusol"
"Biyoloji","9","Hücre Yapısı","Hücre zarının yapısında hangi organik bileşik bulunur?","c","Nişasta","Selüloz","Protein","Kitin","Glikojen"
"Biyoloji","9","Bitki Hücresi","Hangisi bitki hücresinde bulunmaz?","d","Hücre duvarı","Kloroplast","Koful","Sentriyol","Çekirdek"
"Biyoloji","9","Fotosentez","Fotosentez denklemi hangisidir?","a","6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂","C₆H₁₂O₆ → 2C₂H₅OH + 2CO₂","2H₂O → 2H₂ + O₂","NH₃ + O₂ → NO + H₂O","CH₄ + 2O₂ → CO₂ + 2H₂O"
"Biyoloji","9","Kan Dolaşımı","İnsanda oksijen taşınmasından hangi molekül sorumludur?","b","Glukoz","Hemoglobin","Kollajen","İnsülin","Albümin"
"Biyoloji","9","Hayvan Sınıflandırma","Hangisi omurgasız hayvan grubudur?","e","Kuşlar","Kurbağalar","Balıklar","Sürüngenler","Eklembacaklılar"
"Biyoloji","9","DNA Yapısı","DNA'nın yapı birimi nedir?","d","Amino asit","Glikoz","Yağ asidi","Nükleotid","Vitamin"
"Biyoloji","9","Boşaltım Sistemi","Böbreğin temel işlevi nedir?","c","Hormon üretmek","Kan pompalamak","Atık filtrelemek","Oksijen almak","Sindirim enzimi salgılamak"
"Biyoloji","9","Hücre Organelleri","Hangi organel protein sentezinden sorumludur?","a","Ribozom","Mitokondri","Golgi","Lizozom","Kloroplast"
"Biyoloji","9","Bitki Üremesi","Hangisi çiçekli bitkilerde üreme organıdır?","e","Yaprak","Kök","Gövde","Kabuk","Çiçek"
"Biyoloji","9","Vitaminler","Hangi vitamin kemik gelişiminde önemli rol oynar?","d","A","B","C","D","E"
